start,end,midi,note,velocity,confidence
34.605,34.675,70,A#4,72,0.459
34.795,34.895,67,G4,72,0.276
34.895,34.975,68,G#4,72,0.696
34.975,35.115,67,G4,69,0.761
35.115,36.585,68,G#4,71,0.902
36.585,36.655,67,G4,74,0.853
36.655,36.725,66,F#4,65,0.492
36.985,37.065,61,C#4,48,0.28
37.115,37.265,72,C5,48,0.399
37.265,37.395,69,A4,48,0.279
37.655,37.995,67,G4,85,0.888
37.995,38.075,66,F#4,80,0.749
38.075,38.265,65,F4,78,0.771
38.265,38.395,66,F#4,68,0.573
38.395,38.475,68,G#4,76,0.511
38.475,38.565,67,G4,79,0.649
38.565,38.725,68,G#4,78,0.754
38.725,39.015,67,G4,82,0.555
39.015,39.245,63,D#4,78,0.626
39.245,39.925,62,D4,84,0.738
39.925,39.995,65,F4,82,0.508
40.175,40.455,63,D#4,81,0.772
40.455,40.695,62,D4,88,0.805
40.695,40.945,60,C4,92,0.854
40.945,41.135,58,A#3,85,0.788
41.135,41.225,59,B3,48,0.221
41.225,41.435,58,A#3,84,0.722
41.435,41.505,57,A3,56,0.677
41.505,41.635,58,A#3,54,0.707
41.745,41.985,60,C4,76,0.642
41.985,42.215,58,A#3,82,0.689
42.215,42.295,59,B3,67,0.139
42.295,42.465,58,A#3,83,0.853
42.465,42.575,59,B3,59,0.655
42.575,42.685,60,C4,81,0.675
42.685,42.755,58,A#3,81,0.9
42.755,42.845,59,B3,79,0.74
42.845,43.055,58,A#3,80,0.75
43.055,43.155,60,C4,78,0.499
43.155,43.375,58,A#3,81,0.864
43.375,43.445,57,A3,67,0.616
43.445,43.625,56,G#3,84,0.753
43.625,43.875,55,G3,81,0.846
44.265,44.355,68,G#4,82,0.661
44.355,44.425,67,G4,71,0.438
44.545,44.785,68,G#4,69,0.577
44.965,45.165,70,A#4,70,0.518
45.305,45.565,67,G4,66,0.609
45.565,46.795,68,G#4,72,0.924
46.795,46.915,67,G4,76,0.704
46.915,47.035,66,F#4,67,0.216
47.035,47.275,67,G4,72,0.635
47.305,47.385,63,D#4,67,0.399
47.645,47.705,66,F#4,48,0.163
47.805,47.945,67,G4,74,0.646
48.055,48.165,68,G#4,64,0.334
48.455,48.695,70,A#4,66,0.604
48.795,49.045,67,G4,69,0.62
49.045,50.455,68,G#4,75,0.943
50.455,50.735,67,G4,64,0.575
50.735,50.925,68,G#4,64,0.84
50.925,51.075,70,A#4,58,0.643
51.075,51.195,73,C#5,58,0.741
51.235,51.505,67,G4,75,0.486
51.505,51.825,68,G#4,69,0.53
51.915,51.995,74,D5,79,0.655
51.995,52.095,75,D#5,80,0.733
52.095,52.205,74,D5,73,0.669
52.275,52.455,75,D#5,70,0.593
52.635,53.245,72,C5,76,0.892
53.245,53.415,71,B4,67,0.527
53.415,53.695,73,C#5,73,0.889
53.695,53.855,72,C5,72,0.615
53.895,53.965,68,G#4,61,0.39
54.045,54.125,68,G#4,67,0.424
54.125,54.415,67,G4,62,0.641
54.715,54.975,67,G4,68,0.591
54.975,55.135,68,G#4,62,0.529
55.195,55.415,72,C5,70,0.653
55.415,55.545,70,A#4,66,0.67
55.545,55.685,69,A4,57,0.398
55.685,55.995,67,G4,64,0.466
56.165,56.355,67,G4,70,0.469
56.355,57.435,68,G#4,68,0.861
57.435,57.585,67,G4,71,0.473
57.635,57.785,67,G4,48,0.332
58.125,58.395,67,G4,70,0.581
58.395,58.675,68,G#4,67,0.613
58.735,58.845,72,C5,72,0.46
58.845,58.995,70,A#4,66,0.397
59.115,59.195,67,G4,63,0.395
59.195,59.275,68,G#4,71,0.582
59.275,59.395,67,G4,66,0.59
59.395,59.705,68,G#4,76,0.776
59.705,59.915,67,G4,68,0.588
59.955,60.795,70,A#4,72,0.601
60.925,61.075,67,G4,66,0.53
61.075,61.145,66,F#4,65,0.265
61.295,61.455,68,G#4,70,0.654
61.455,61.595,70,A#4,59,0.656
61.595,61.825,67,G4,71,0.711
61.825,61.975,68,G#4,65,0.565
61.975,62.045,67,G4,52,0.446
62.245,62.455,70,A#4,67,0.628
62.485,62.835,67,G4,63,0.574
62.835,64.255,68,G#4,72,0.949
64.255,64.375,67,G4,64,0.471
64.375,64.525,68,G#4,48,0.587
64.665,64.735,68,G#4,48,0.448
64.765,64.835,68,G#4,50,0.739
64.835,65.255,67,G4,68,0.672
65.255,65.575,68,G#4,68,0.527
65.655,65.745,74,D5,78,0.712
65.745,65.975,75,D#5,76,0.829
66.045,66.215,75,D#5,67,0.624
66.405,67.035,72,C5,73,0.836
67.035,67.135,71,B4,66,0.467
67.135,67.205,72,C5,76,0.812
67.205,67.495,73,C#5,75,0.909
67.495,67.675,72,C5,72,0.547
67.775,67.925,68,G#4,62,0.297
67.925,68.105,67,G4,54,0.663
68.445,68.715,67,G4,67,0.511
68.715,68.865,68,G#4,63,0.446
68.995,69.155,72,C5,70,0.773
69.155,69.405,70,A#4,67,0.73
69.405,69.755,68,G#4,64,0.502
69.905,70.105,67,G4,68,0.566
70.105,71.245,68,G#4,69,0.867
71.245,71.355,67,G4,65,0.469
71.355,71.615,68,G#4,48,0.586
71.915,72.135,63,D#4,80,0.67
72.205,72.565,68,G#4,72,0.619
72.655,72.715,72,C5,81,0.644
72.745,72.845,71,B4,76,0.829
72.935,73.125,68,G#4,67,0.644
73.125,73.255,67,G4,66,0.739
73.255,73.565,68,G#4,73,0.835
73.565,73.735,67,G4,66,0.566
73.775,74.535,70,A#4,74,0.741
74.595,74.735,68,G#4,70,0.378
74.735,74.865,67,G4,69,0.497
74.865,75.115,65,F4,68,0.562
75.245,75.315,57,A3,48,0.156
75.445,75.565,63,D#4,79,0.439
75.645,76.055,68,G#4,71,0.648
76.115,76.235,72,C5,75,0.516
76.235,76.315,70,A#4,67,0.545
76.435,76.595,68,G#4,62,0.581
76.595,76.735,67,G4,66,0.78
76.735,77.635,68,G#4,69,0.896
77.665,77.895,61,C#4,73,0.467
77.955,78.055,73,C#5,76,0.59
78.055,78.185,72,C5,82,0.964
78.185,78.355,71,B4,86,0.952
78.355,78.605,70,A#4,86,0.958
78.605,78.745,68,G#4,87,0.918
78.745,78.825,67,G4,86,0.39
78.925,79.075,63,D#4,77,0.597
79.075,79.145,68,G#4,77,0.708
79.145,79.255,67,G4,73,0.709
79.325,79.525,68,G#4,68,0.686
79.575,79.695,72,C5,75,0.48
79.695,79.785,70,A#4,68,0.58
79.895,80.075,68,G#4,67,0.631
80.075,80.225,67,G4,68,0.755
80.225,80.645,68,G#4,72,0.612
80.645,80.785,67,G4,66,0.672
80.855,81.355,73,C#5,74,0.842
81.465,81.675,73,C#5,74,0.71
81.725,81.805,70,A#4,68,0.23
81.835,82.065,68,G#4,68,0.446
82.065,82.165,67,G4,62,0.628
82.335,82.525,63,D#4,75,0.663
82.595,83.015,67,G4,73,0.518
83.085,83.515,72,C5,69,0.541
83.515,83.615,71,B4,76,0.44
83.615,84.285,70,A#4,73,0.541
84.345,84.425,74,D5,76,0.635
84.425,86.225,75,D#5,72,0.971
86.225,86.355,74,D5,74,0.576
86.425,86.655,75,D#5,48,0.357
86.875,86.975,67,G4,48,0.853
88.595,88.695,60,C4,48,0.89
89.425,89.555,60,C4,48,0.871
89.765,89.965,61,C#4,70,0.901
89.995,90.235,60,C4,48,0.848
90.365,90.475,61,C#4,48,0.876
90.765,90.895,67,G4,48,0.922
91.595,91.765,60,C4,60,0.894
92.145,92.225,60,C4,48,0.903
95.655,96.255,65,F4,48,0.906
96.465,96.765,65,F4,54,0.932
96.905,97.365,61,C#4,48,0.773
97.455,97.805,60,C4,49,0.841
97.805,98.055,61,C#4,54,0.805
98.145,98.205,57,A3,48,0.299
